"Date","Price","Open","High","Low","Change %"
"May 08, 2018","7.580","7.636","7.655","7.553","-0.55%"
"May 07, 2018","7.622","7.601","7.655","7.601","-1.37%"
"May 04, 2018","7.728","7.748","7.759","7.723","-0.08%"
"May 03, 2018","7.734","7.736","7.746","7.683","0.01%"
"May 02, 2018","7.733","7.731","7.742","7.702","-0.44%"
"Apr 27, 2018","7.767","7.746","7.773","7.740","0.15%"
"Apr 26, 2018","7.755","7.749","7.785","7.723","0.22%"
"Apr 25, 2018","7.738","7.714","7.779","7.701","0.72%"
"Apr 24, 2018","7.683","7.738","7.741","7.642","-0.74%"
"Apr 23, 2018","7.740","7.731","7.769","7.672","0.29%"
"Apr 20, 2018","7.718","7.785","7.797","7.655","1.14%"
"Apr 19, 2018","7.631","7.602","7.651","7.588","1.26%"
"Apr 18, 2018","7.536","7.492","7.536","7.478","0.63%"
"Apr 17, 2018","7.489","7.483","7.509","7.471","0.04%"
"Apr 16, 2018","7.486","7.404","7.490","7.404","0.74%"
"Apr 13, 2018","7.431","7.503","7.522","7.423","-0.50%"
"Apr 12, 2018","7.468","7.512","7.527","7.443","-0.90%"
"Apr 11, 2018","7.536","7.423","7.542","7.386","2.13%"
"Apr 10, 2018","7.379","7.247","7.379","7.247","2.12%"
"Apr 09, 2018","7.226","7.204","7.239","7.153","0.71%"
"Apr 06, 2018","7.175","7.146","7.179","7.139","0.67%"
"Apr 05, 2018","7.127","7.306","7.306","7.123","-2.29%"
"Apr 04, 2018","7.294","7.339","7.345","7.291","-0.52%"
"Apr 03, 2018","7.332","7.333","7.367","7.312","-0.89%"
"Mar 28, 2018","7.398","7.313","7.412","7.286","0.89%"
"Mar 27, 2018","7.333","7.371","7.398","7.302","-3.80%"
"Mar 26, 2018","7.623","7.577","7.630","7.574","0.87%"
"Mar 23, 2018","7.557","7.533","7.562","7.521","-0.04%"
"Mar 22, 2018","7.560","7.581","7.615","7.548","-0.28%"
"Mar 21, 2018","7.581","7.660","7.677","7.579","-0.45%"
"Mar 20, 2018","7.615","7.604","7.628","7.595","0.09%"
"Mar 19, 2018","7.608","7.585","7.613","7.542","0.67%"
"Mar 16, 2018","7.557","7.640","7.648","7.557","-1.00%"
"Mar 15, 2018","7.633","7.672","7.711","7.625","-0.68%"
"Mar 14, 2018","7.685","7.646","7.693","7.643","0.42%"
"Mar 13, 2018","7.653","7.607","7.665","7.604","0.31%"
"Mar 12, 2018","7.629","7.697","7.700","7.620","-0.55%"
"Mar 09, 2018","7.671","7.652","7.729","7.634","0.12%"
"Mar 08, 2018","7.662","7.679","7.713","7.652","-0.21%"
"Mar 07, 2018","7.678","7.769","7.769","7.678","-1.25%"
"Mar 06, 2018","7.775","7.800","7.800","7.758","-0.01%"
"Mar 05, 2018","7.776","7.755","7.783","7.741","0.49%"
"Mar 01, 2018","7.738","7.726","7.776","7.696","0.16%"
"Feb 28, 2018","7.726","7.696","7.726","7.673","0.78%"
"Feb 27, 2018","7.666","7.708","7.717","7.657","-0.29%"
"Feb 26, 2018","7.688","7.657","7.708","7.657","0.27%"
"Feb 23, 2018","7.667","7.760","7.760","7.667","-1.02%"
"Feb 22, 2018","7.746","7.816","7.816","7.724","0.47%"
"Feb 21, 2018","7.710","7.677","7.710","7.657","0.55%"
"Feb 20, 2018","7.668","7.606","7.694","7.603","1.12%"
"Feb 18, 2018","7.583","7.583","7.583","7.583","0.08%"
"Feb 16, 2018","7.577","7.576","7.597","7.571","0.12%"
"Feb 15, 2018","7.568","7.567","7.611","7.547","1.03%"
"Feb 14, 2018","7.491","7.453","7.509","7.449","-0.07%"
"Feb 12, 2018","7.496","7.470","7.525","7.449","0.08%"
"Feb 09, 2018","7.490","7.458","7.524","7.452","0.32%"
"Feb 08, 2018","7.466","7.506","7.522","7.466","-0.86%"
"Feb 07, 2018","7.531","7.583","7.620","7.496","-0.49%"
"Feb 06, 2018","7.568","7.562","7.616","7.538","-0.49%"
"Feb 05, 2018","7.605","7.620","7.620","7.572","0.57%"
"Feb 02, 2018","7.562","7.679","7.689","7.509","-0.57%"
"Feb 01, 2018","7.605","7.446","7.625","7.399","2.36%"
"Jan 31, 2018","7.430","7.423","7.439","7.402","-0.05%"
"Jan 30, 2018","7.434","7.440","7.478","7.418","-0.09%"
"Jan 29, 2018","7.441","7.322","7.444","7.295","1.83%"
"Jan 25, 2018","7.307","7.312","7.341","7.299","0.43%"
"Jan 24, 2018","7.276","7.265","7.282","7.243","-1.85%"
"Jan 23, 2018","7.413","7.490","7.490","7.407","-0.66%"
"Jan 22, 2018","7.462","7.498","7.509","7.453","-0.23%"
"Jan 19, 2018","7.479","7.479","7.486","7.451","0.11%"
"Jan 18, 2018","7.471","7.447","7.479","7.436","0.76%"
"Jan 17, 2018","7.415","7.547","7.552","7.374","-1.81%"
"Jan 16, 2018","7.552","7.504","7.587","7.482","1.46%"
"Jan 15, 2018","7.443","7.471","7.471","7.438","-0.16%"
"Jan 12, 2018","7.455","7.443","7.482","7.404","0.26%"
"Jan 11, 2018","7.436","7.419","7.456","7.406","-0.07%"
"Jan 10, 2018","7.441","7.411","7.454","7.411","1.00%"
"Jan 09, 2018","7.367","7.360","7.377","7.341","0.31%"
"Jan 08, 2018","7.344","7.285","7.348","7.279","0.77%"
"Jan 05, 2018","7.288","7.331","7.343","7.281","-0.59%"
"Jan 04, 2018","7.331","7.346","7.365","7.328","0.12%"
"Jan 03, 2018","7.322","7.405","7.423","7.320","-0.84%"
"Jan 02, 2018","7.384","7.341","7.399","7.341","0.64%"
"Jan 01, 2018","7.337","7.349","7.363","7.315","0.15%"
"Dec 29, 2017","7.326","7.410","7.410","7.270","-0.95%"
"Dec 28, 2017","7.396","7.303","7.399","7.302","2.45%"
"Dec 27, 2017","7.219","7.304","7.304","7.218","-0.77%"
"Dec 26, 2017","7.275","7.289","7.307","7.261","0.06%"
"Dec 22, 2017","7.271","7.210","7.293","7.206","0.79%"
"Dec 21, 2017","7.214","7.249","7.293","7.207","-0.07%"
"Dec 20, 2017","7.219","7.204","7.223","7.195","0.57%"
"Dec 19, 2017","7.178","7.198","7.198","7.164","-0.04%"
"Dec 18, 2017","7.181","7.170","7.223","7.143","0.67%"
"Dec 16, 2017","7.133","7.133","7.133","7.133","-0.01%"
"Dec 15, 2017","7.134","7.113","7.140","7.112","0.06%"
"Dec 14, 2017","7.130","7.143","7.169","7.126","-0.60%"
"Dec 13, 2017","7.173","7.246","7.255","7.173","-0.25%"
"Dec 12, 2017","7.191","7.220","7.235","7.169","0.26%"
"Dec 11, 2017","7.172","7.094","7.177","7.089","1.17%"
"Dec 08, 2017","7.089","7.080","7.109","7.073","0.50%"
"Dec 07, 2017","7.054","7.015","7.061","7.012","0.33%"
"Dec 06, 2017","7.031","7.060","7.084","7.029","-0.40%"
"Dec 05, 2017","7.059","7.074","7.080","7.054","-0.34%"
"Dec 04, 2017","7.083","7.088","7.107","7.071","0.35%"
"Nov 30, 2017","7.058","7.050","7.071","7.032","0.47%"
"Nov 29, 2017","7.025","7.037","7.045","7.017","-0.07%"
"Nov 28, 2017","7.030","7.074","7.079","7.028","-0.37%"
"Nov 27, 2017","7.056","7.012","7.060","7.012","0.77%"
"Nov 24, 2017","7.002","7.009","7.043","6.996","0.24%"
"Nov 23, 2017","6.985","6.947","7.022","6.946","0.37%"
"Nov 22, 2017","6.959","6.899","6.979","6.899","0.91%"
"Nov 21, 2017","6.896","6.891","6.918","6.886","0.10%"
"Nov 20, 2017","6.889","6.979","6.979","6.887","-2.27%"
"Nov 17, 2017","7.049","6.953","7.059","6.953","-0.18%"
"Nov 16, 2017","7.062","7.023","7.084","7.020","0.66%"
"Nov 15, 2017","7.016","7.031","7.038","7.016","-0.48%"
"Nov 14, 2017","7.050","6.988","7.066","6.982","1.12%"
"Nov 13, 2017","6.972","6.976","6.984","6.962","0.23%"
"Nov 10, 2017","6.956","6.935","6.970","6.923","0.36%"
"Nov 09, 2017","6.931","6.942","6.944","6.918","-0.12%"
"Nov 08, 2017","6.939","6.925","6.949","6.918","0.16%"
"Nov 07, 2017","6.928","6.923","6.942","6.919","0.49%"
"Nov 06, 2017","6.894","6.871","6.901","6.870","0.52%"
"Nov 03, 2017","6.858","6.859","6.876","6.847","-0.03%"
"Nov 02, 2017","6.860","6.884","6.889","6.858","-0.46%"
"Nov 01, 2017","6.892","6.879","6.896","6.872","0.44%"
"Oct 31, 2017","6.862","6.870","6.898","6.856","-0.29%"
"Oct 30, 2017","6.882","6.821","6.891","6.818","1.09%"
"Oct 29, 2017","6.808","6.808","6.808","6.808","0.01%"
"Oct 27, 2017","6.807","6.814","6.843","6.798","0.13%"
"Oct 26, 2017","6.798","6.805","6.808","6.798","-0.23%"
"Oct 25, 2017","6.814","6.809","6.816","6.795","0.47%"
"Oct 24, 2017","6.782","6.798","6.799","6.768","-0.25%"
"Oct 23, 2017","6.799","6.791","6.806","6.786","0.55%"
"Oct 22, 2017","6.762","6.762","6.762","6.762","0.03%"
"Oct 18, 2017","6.760","6.764","6.773","6.758","-0.04%"
"Oct 17, 2017","6.763","6.745","6.770","6.742","0.43%"
"Oct 16, 2017","6.734","6.732","6.746","6.730","0.00%"
"Oct 13, 2017","6.734","6.723","6.749","6.720","-0.28%"
"Oct 12, 2017","6.753","6.734","6.756","6.729","0.19%"
"Oct 11, 2017","6.740","6.760","6.760","6.730","-0.01%"
"Oct 10, 2017","6.741","6.786","6.786","6.739","-0.58%"
"Oct 09, 2017","6.780","6.760","6.785","6.752","0.34%"
"Oct 06, 2017","6.757","6.729","6.764","6.729","0.42%"
"Oct 05, 2017","6.729","6.721","6.738","6.720","0.39%"
"Oct 04, 2017","6.703","6.638","6.707","6.625","0.83%"
"Oct 03, 2017","6.648","6.674","6.679","6.635","-0.23%"
"Sep 29, 2017","6.663","6.629","6.710","6.608","0.33%"
"Sep 28, 2017","6.641","6.682","6.683","6.618","-0.38%"
"Sep 27, 2017","6.666","6.677","6.685","6.658","-0.04%"
"Sep 26, 2017","6.669","6.630","6.674","6.630","0.77%"
"Sep 25, 2017","6.618","6.667","6.667","6.615","-0.68%"
"Sep 22, 2017","6.663","6.668","6.694","6.658","-0.16%"
"Sep 21, 2017","6.674","6.615","6.677","6.594","1.47%"
"Sep 20, 2017","6.577","6.594","6.597","6.577","-0.21%"
"Sep 19, 2017","6.591","6.603","6.615","6.591","-0.29%"
"Sep 18, 2017","6.610","6.607","6.623","6.596","0.18%"
"Sep 15, 2017","6.598","6.589","6.613","6.576","0.12%"
"Sep 14, 2017","6.590","6.594","6.597","6.582","0.06%"
"Sep 13, 2017","6.586","6.586","6.594","6.571","0.44%"
"Sep 12, 2017","6.557","6.569","6.572","6.552","-0.08%"
"Sep 11, 2017","6.562","6.545","6.565","6.545","0.29%"
"Sep 08, 2017","6.543","6.504","6.548","6.503","0.43%"
"Sep 07, 2017","6.515","6.512","6.526","6.509","0.12%"
"Sep 06, 2017","6.507","6.480","6.526","6.477","0.15%"
"Sep 05, 2017","6.497","6.496","6.512","6.491","0.02%"
"Sep 04, 2017","6.496","6.490","6.532","6.490","0.20%"
"Sep 01, 2017","6.483","6.492","6.499","6.478","-0.64%"
"Aug 31, 2017","6.525","6.544","6.550","6.525","-0.17%"
"Aug 30, 2017","6.536","6.543","6.550","6.528","0.05%"
"Aug 29, 2017","6.533","6.576","6.576","6.533","-0.53%"
"Aug 28, 2017","6.568","6.528","6.575","6.528","0.46%"
"Aug 24, 2017","6.538","6.542","6.548","6.531","0.05%"
"Aug 23, 2017","6.535","6.539","6.547","6.527","0.00%"
"Aug 22, 2017","6.535","6.513","6.540","6.505","0.38%"
"Aug 21, 2017","6.510","6.510","6.516","6.505","0.02%"
"Aug 18, 2017","6.509","6.521","6.521","6.495","-0.37%"
"Aug 16, 2017","6.533","6.534","6.545","6.525","0.20%"
"Aug 14, 2017","6.520","6.498","6.525","6.491","0.28%"
"Aug 11, 2017","6.502","6.505","6.514","6.483","0.12%"
"Aug 10, 2017","6.494","6.472","6.498","6.462","0.45%"
"Aug 09, 2017","6.465","6.460","6.470","6.452","0.12%"
"Aug 08, 2017","6.457","6.460","6.465","6.450","0.00%"
"Aug 07, 2017","6.457","6.453","6.465","6.442","0.25%"
"Aug 06, 2017","6.441","6.441","6.441","6.441","0.05%"
"Aug 04, 2017","6.438","6.423","6.443","6.419","0.14%"
"Aug 03, 2017","6.429","6.460","6.467","6.429","-0.48%"
"Aug 02, 2017","6.460","6.438","6.481","6.434","0.31%"
"Aug 01, 2017","6.440","6.466","6.466","6.438","-0.39%"
"Jul 31, 2017","6.465","6.452","6.476","6.447","0.05%"
"Jul 28, 2017","6.462","6.443","6.467","6.433","0.34%"
"Jul 27, 2017","6.440","6.425","6.442","6.418","-0.09%"
"Jul 26, 2017","6.446","6.450","6.451","6.436","0.23%"
"Jul 25, 2017","6.431","6.418","6.443","6.406","0.27%"
"Jul 24, 2017","6.414","6.432","6.435","6.404","-0.34%"
"Jul 21, 2017","6.436","6.449","6.452","6.431","-0.26%"
"Jul 20, 2017","6.453","6.451","6.453","6.445","0.06%"
"Jul 19, 2017","6.449","6.449","6.455","6.441","-0.09%"
"Jul 18, 2017","6.455","6.454","6.462","6.446","-0.02%"
"Jul 17, 2017","6.456","6.462","6.466","6.444","-0.11%"
"Jul 16, 2017","6.463","6.463","6.463","6.463","0.00%"
"Jul 14, 2017","6.463","6.463","6.463","6.463","0.12%"
"Jul 13, 2017","6.455","6.455","6.455","6.455","-0.08%"
"Jul 12, 2017","6.460","6.460","6.460","6.460","-0.42%"
"Jul 11, 2017","6.487","6.487","6.487","6.487","0.26%"
"Jul 10, 2017","6.470","6.470","6.470","6.470","-0.95%"
"Jul 07, 2017","6.532","6.532","6.532","6.532","-0.11%"
"Jul 06, 2017","6.539","6.539","6.539","6.539","-0.17%"
"Jul 05, 2017","6.550","6.550","6.550","6.550","0.02%"
"Jul 04, 2017","6.549","6.549","6.549","6.549","-0.15%"
"Jul 03, 2017","6.559","6.559","6.559","6.559","0.74%"
"Jul 02, 2017","6.511","6.511","6.511","6.511","0.00%"
"Jul 01, 2017","6.511","6.511","6.511","6.511","0.00%"
"Jun 30, 2017","6.511","6.511","6.511","6.511","0.09%"
"Jun 29, 2017","6.505","6.505","6.505","6.505","0.08%"
"Jun 28, 2017","6.500","6.500","6.500","6.500","0.57%"
"Jun 27, 2017","6.463","6.463","6.463","6.463","0.05%"
"Jun 25, 2017","6.460","6.460","6.460","6.460","0.00%"
"Jun 23, 2017","6.460","6.460","6.460","6.460","0.11%"
"Jun 22, 2017","6.453","6.453","6.453","6.453","0.39%"
"Jun 21, 2017","6.428","6.428","6.428","6.428","-0.28%"
"Jun 20, 2017","6.446","6.446","6.446","6.446","-0.32%"
"Jun 19, 2017","6.467","6.467","6.467","6.467","-0.34%"
"Jun 16, 2017","6.489","6.489","6.489","6.489","0.12%"
"Jun 15, 2017","6.481","6.481","6.481","6.481","0.15%"
"Jun 14, 2017","6.471","6.471","6.471","6.471","-0.34%"
"Jun 13, 2017","6.493","6.493","6.493","6.493","-0.35%"
"Jun 12, 2017","6.516","6.516","6.516","6.516","0.20%"
"Jun 09, 2017","6.503","6.503","6.503","6.503","-0.44%"
"Jun 08, 2017","6.532","6.532","6.532","6.532","-0.52%"
"Jun 07, 2017","6.566","6.566","6.566","6.566","-1.10%"
"Jun 06, 2017","6.639","6.639","6.639","6.639","-0.11%"
"Jun 05, 2017","6.646","6.646","6.646","6.646","0.29%"
"Jun 02, 2017","6.627","6.627","6.627","6.627","0.02%"
"Jun 01, 2017","6.626","6.626","6.626","6.626","-0.57%"
"May 31, 2017","6.664","6.664","6.664","6.664","0.00%"
"May 30, 2017","6.664","6.664","6.664","6.664","-0.06%"
"May 29, 2017","6.668","6.668","6.668","6.668","-1.80%"
"May 26, 2017","6.790","6.790","6.790","6.790","0.00%"
"May 25, 2017","6.790","6.790","6.790","6.790","-0.18%"
"May 24, 2017","6.802","6.802","6.802","6.802","0.13%"
"May 23, 2017","6.793","6.793","6.793","6.793","0.30%"
"May 22, 2017","6.773","6.773","6.773","6.773","-1.25%"
"May 19, 2017","6.859","6.859","6.859","6.859","0.23%"
"May 18, 2017","6.843","6.843","6.843","6.843","-0.01%"
"May 17, 2017","6.844","6.844","6.844","6.844","0.07%"
"May 16, 2017","6.839","6.839","6.839","6.839","0.46%"
"May 15, 2017","6.808","6.808","6.808","6.808","-1.48%"
"May 12, 2017","6.910","6.910","6.910","6.910","-0.48%"
"May 11, 2017","6.943","6.943","6.943","6.943","0.00%"
"May 09, 2017","6.943","6.943","6.943","6.943","0.19%"
"May 08, 2017","6.930","6.930","6.930","6.930","-0.19%"
"May 07, 2017","6.943","6.943","6.943","6.943","0.00%"
"May 05, 2017","6.943","6.943","6.943","6.943","-0.40%"
"May 04, 2017","6.971","6.971","6.971","6.971","0.23%"
"May 03, 2017","6.955","6.955","6.955","6.955","-0.53%"
"May 02, 2017","6.992","6.992","6.992","6.992","0.40%"
"Apr 28, 2017","6.964","6.964","6.964","6.964","0.27%"
"Apr 27, 2017","6.945","6.945","6.945","6.945","-0.12%"
"Apr 26, 2017","6.953","6.953","6.953","6.953","0.25%"
"Apr 25, 2017","6.936","6.936","6.936","6.936","-0.10%"
"Apr 24, 2017","6.943","6.943","6.943","6.943","0.29%"
"Apr 22, 2017","6.923","6.923","6.923","6.923","0.00%"
"Apr 21, 2017","6.923","6.923","6.923","6.923","0.65%"
"Apr 20, 2017","6.878","6.878","6.878","6.878","0.35%"
"Apr 19, 2017","6.854","6.854","6.854","6.854","-0.12%"
"Apr 18, 2017","6.862","6.862","6.862","6.862","0.22%"
"Apr 17, 2017","6.847","6.847","6.847","6.847","0.40%"
"Apr 13, 2017","6.820","6.820","6.820","6.820","0.56%"
"Apr 12, 2017","6.782","6.782","6.782","6.782","-0.38%"
"Apr 11, 2017","6.808","6.808","6.808","6.808","-0.83%"
"Apr 10, 2017","6.865","6.865","6.865","6.865","0.65%"
"Apr 07, 2017","6.821","6.821","6.821","6.821","0.78%"
"Apr 06, 2017","6.768","6.768","6.768","6.768","1.71%"
"Apr 05, 2017","6.654","6.654","6.654","6.654","0.00%"
"Apr 03, 2017","6.654","6.654","6.654","6.654","-0.60%"
"Mar 31, 2017","6.694","6.694","6.694","6.694","0.09%"
"Mar 30, 2017","6.688","6.688","6.688","6.688","-0.90%"
"Mar 29, 2017","6.749","6.749","6.749","6.749","0.57%"
"Mar 27, 2017","6.711","6.711","6.711","6.711","-1.76%"
"Mar 26, 2017","6.831","6.831","6.831","6.831","0.00%"
"Mar 24, 2017","6.831","6.831","6.831","6.831","0.06%"
"Mar 23, 2017","6.827","6.827","6.827","6.827","0.19%"
"Mar 22, 2017","6.814","6.814","6.814","6.814","-1.05%"
"Mar 21, 2017","6.886","6.886","6.886","6.886","-0.12%"
"Mar 20, 2017","6.894","6.894","6.894","6.894","0.51%"
"Mar 18, 2017","6.859","6.859","6.859","6.859","0.00%"
"Mar 17, 2017","6.859","6.859","6.859","6.859","0.23%"
"Mar 16, 2017","6.843","6.843","6.843","6.843","0.21%"
"Mar 15, 2017","6.829","6.829","6.829","6.829","-1.10%"
"Mar 14, 2017","6.905","6.905","6.905","6.905","0.03%"
"Mar 10, 2017","6.903","6.903","6.903","6.903","0.61%"
"Mar 09, 2017","6.861","6.861","6.861","6.861","0.00%"
"Mar 08, 2017","6.861","6.861","6.861","6.861","0.40%"
"Mar 07, 2017","6.834","6.834","6.834","6.834","-0.48%"
"Mar 06, 2017","6.867","6.867","6.867","6.867","1.30%"
"Mar 03, 2017","6.779","6.779","6.779","6.779","-0.92%"
"Mar 02, 2017","6.842","6.842","6.842","6.842","-1.28%"
"Mar 01, 2017","6.931","6.931","6.931","6.931","0.87%"
"Feb 28, 2017","6.871","6.871","6.871","6.871","-0.15%"
"Feb 27, 2017","6.881","6.881","6.881","6.881","-0.49%"
"Feb 23, 2017","6.915","6.915","6.915","6.915","-0.39%"
"Feb 22, 2017","6.942","6.942","6.942","6.942","0.56%"
"Feb 20, 2017","6.903","6.903","6.903","6.903","0.76%"
"Feb 17, 2017","6.851","6.851","6.851","6.851","0.09%"
"Feb 16, 2017","6.845","6.845","6.845","6.845","-0.25%"
"Feb 15, 2017","6.862","6.862","6.862","6.862","-0.17%"
"Feb 14, 2017","6.874","6.874","6.874","6.874","0.67%"
"Feb 13, 2017","6.828","6.828","6.828","6.828","0.34%"
"Feb 10, 2017","6.805","6.805","6.805","6.805","-0.76%"
"Feb 09, 2017","6.857","6.857","6.857","6.857","1.57%"
"Feb 08, 2017","6.751","6.751","6.751","6.751","4.98%"
"Feb 07, 2017","6.431","6.431","6.431","6.431","0.28%"
"Feb 06, 2017","6.413","6.413","6.413","6.413","0.05%"
"Feb 03, 2017","6.410","6.410","6.410","6.410","0.12%"
"Feb 02, 2017","6.402","6.402","6.402","6.402","-0.45%"
"Feb 01, 2017","6.431","6.431","6.431","6.431","0.34%"
"Jan 31, 2017","6.409","6.409","6.409","6.409","0.06%"
"Jan 30, 2017","6.405","6.405","6.405","6.405","0.05%"
"Jan 27, 2017","6.402","6.402","6.402","6.402","-0.39%"
"Jan 25, 2017","6.427","6.427","6.427","6.427","-0.12%"
"Jan 24, 2017","6.435","6.435","6.435","6.435","-0.26%"
"Jan 23, 2017","6.452","6.452","6.452","6.452","-0.22%"
"Jan 20, 2017","6.466","6.466","6.466","6.466","-0.15%"
"Jan 19, 2017","6.476","6.476","6.476","6.476","0.34%"
"Jan 18, 2017","6.454","6.454","6.454","6.454","0.50%"
"Jan 17, 2017","6.422","6.422","6.422","6.422","-0.26%"
"Jan 16, 2017","6.439","6.439","6.439","6.439","0.34%"
"Jan 13, 2017","6.417","6.417","6.417","6.417","0.71%"
"Jan 12, 2017","6.372","6.372","6.372","6.372","-0.34%"
"Jan 11, 2017","6.394","6.394","6.394","6.394","-0.06%"
"Jan 10, 2017","6.398","6.398","6.398","6.398","0.02%"
"Jan 09, 2017","6.397","6.397","6.397","6.397","0.16%"
"Jan 06, 2017","6.387","6.387","6.387","6.387","0.02%"
"Jan 05, 2017","6.386","6.386","6.386","6.386","0.33%"
"Jan 04, 2017","6.365","6.365","6.365","6.365","-1.24%"
"Jan 03, 2017","6.445","6.445","6.445","6.445","0.61%"
"Jan 02, 2017","6.406","6.406","6.406","6.406","-1.69%"